instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
10741506,41959,NIFTY25D0926800CE,NIFTY,0,2025-12-09,26800.0,0.05,75,CE,NFO-OPT,NFO
10741762,41960,NIFTY25D0926800PE,NIFTY,0,2025-12-09,26800.0,0.05,75,PE,NFO-OPT,NFO
10739970,41953,NIFTY25D0926750CE,NIFTY,0,2025-12-09,26750.0,0.05,75,CE,NFO-OPT,NFO
10740226,41954,NIFTY25D0926750PE,NIFTY,0,2025-12-09,26750.0,0.05,75,PE,NFO-OPT,NFO
10737922,41945,NIFTY25D0926700CE,NIFTY,0,2025-12-09,26700.0,0.05,75,CE,NFO-OPT,NFO
10738178,41946,NIFTY25D0926700PE,NIFTY,0,2025-12-09,26700.0,0.05,75,PE,NFO-OPT,NFO
10737410,41943,NIFTY25D0926650CE,NIFTY,0,2025-12-09,26650.0,0.05,75,CE,NFO-OPT,NFO
10737666,41944,NIFTY25D0926650PE,NIFTY,0,2025-12-09,26650.0,0.05,75,PE,NFO-OPT,NFO
10736386,41939,NIFTY25D0926600CE,NIFTY,0,2025-12-09,26600.0,0.05,75,CE,NFO-OPT,NFO
10736642,41940,NIFTY25D0926600PE,NIFTY,0,2025-12-09,26600.0,0.05,75,PE,NFO-OPT,NFO
10735362,41935,NIFTY25D0926550CE,NIFTY,0,2025-12-09,26550.0,0.05,75,CE,NFO-OPT,NFO
10735618,41936,NIFTY25D0926550PE,NIFTY,0,2025-12-09,26550.0,0.05,75,PE,NFO-OPT,NFO
10733314,41927,NIFTY25D0926500CE,NIFTY,0,2025-12-09,26500.0,0.05,75,CE,NFO-OPT,NFO
10733570,41928,NIFTY25D0926500PE,NIFTY,0,2025-12-09,26500.0,0.05,75,PE,NFO-OPT,NFO
10732802,41925,NIFTY25D0926450CE,NIFTY,0,2025-12-09,26450.0,0.05,75,CE,NFO-OPT,NFO
10733058,41926,NIFTY25D0926450PE,NIFTY,0,2025-12-09,26450.0,0.05,75,PE,NFO-OPT,NFO
10732290,41923,NIFTY25D0926400CE,NIFTY,0,2025-12-09,26400.0,0.05,75,CE,NFO-OPT,NFO
10732546,41924,NIFTY25D0926400PE,NIFTY,0,2025-12-09,26400.0,0.05,75,PE,NFO-OPT,NFO
10731778,41921,NIFTY25D0926350CE,NIFTY,0,2025-12-09,26350.0,0.05,75,CE,NFO-OPT,NFO
10708226,41829,NIFTY25D0925550CE,NIFTY,0,2025-12-09,25550.0,0.05,75,CE,NFO-OPT,NFO
10708482,41830,NIFTY25D0925550PE,NIFTY,0,2025-12-09,25550.0,0.05,75,PE,NFO-OPT,NFO
10707714,41827,NIFTY25D0925500CE,NIFTY,0,2025-12-09,25500.0,0.05,75,CE,NFO-OPT,NFO
10707970,41828,NIFTY25D0925500PE,NIFTY,0,2025-12-09,25500.0,0.05,75,PE,NFO-OPT,NFO
10707202,41825,NIFTY25D0925450CE,NIFTY,0,2025-12-09,25450.0,0.05,75,CE,NFO-OPT,NFO
10707458,41826,NIFTY25D0925450PE,NIFTY,0,2025-12-09,25450.0,0.05,75,PE,NFO-OPT,NFO
10706690,41823,NIFTY25D0925400CE,NIFTY,0,2025-12-09,25400.0,0.05,75,CE,NFO-OPT,NFO
10706946,41824,NIFTY25D0925400PE,NIFTY,0,2025-12-09,25400.0,0.05,75,PE,NFO-OPT,NFO
10706178,41821,NIFTY25D0925350CE,NIFTY,0,2025-12-09,25350.0,0.05,75,CE,NFO-OPT,NFO
10706434,41822,NIFTY25D0925350PE,NIFTY,0,2025-12-09,25350.0,0.05,75,PE,NFO-OPT,NFO
10705666,41819,NIFTY25D0925300CE,NIFTY,0,2025-12-09,25300.0,0.05,75,CE,NFO-OPT,NFO
10705922,41820,NIFTY25D0925300PE,NIFTY,0,2025-12-09,25300.0,0.05,75,PE,NFO-OPT,NFO
10705154,41817,NIFTY25D0925250CE,NIFTY,0,2025-12-09,25250.0,0.05,75,CE,NFO-OPT,NFO
10705410,41818,NIFTY25D0925250PE,NIFTY,0,2025-12-09,25250.0,0.05,75,PE,NFO-OPT,NFO
10704642,41815,NIFTY25D0925200CE,NIFTY,0,2025-12-09,25200.0,0.05,75,CE,NFO-OPT,NFO
10704898,41816,NIFTY25D0925200PE,NIFTY,0,2025-12-09,25200.0,0.05,75,PE,NFO-OPT,NFO
10704130,41813,NIFTY25D0925150CE,NIFTY,0,2025-12-09,25150.0,0.05,75,CE,NFO-OPT,NFO
10704386,41814,NIFTY25D0925150PE,NIFTY,0,2025-12-09,25150.0,0.05,75,PE,NFO-OPT,NFO
10701570,41803,NIFTY25D0925100CE,NIFTY,0,2025-12-09,25100.0,0.05,75,CE,NFO-OPT,NFO
10701826,41804,NIFTY25D0925100PE,NIFTY,0,2025-12-09,25100.0,0.05,75,PE,NFO-OPT,NFO
10699522,41795,NIFTY25D0925050CE,NIFTY,0,2025-12-09,25050.0,0.05,75,CE,NFO-OPT,NFO
10699778,41796,NIFTY25D0925050PE,NIFTY,0,2025-12-09,25050.0,0.05,75,PE,NFO-OPT,NFO
10699010,41793,NIFTY25D0925000CE,NIFTY,0,2025-12-09,25000.0,0.05,75,CE,NFO-OPT,NFO
10699266,41794,NIFTY25D0925000PE,NIFTY,0,2025-12-09,25000.0,0.05,75,PE,NFO-OPT,NFO
10697986,41789,NIFTY25D0924950CE,NIFTY,0,2025-12-09,24950.0,0.05,75,CE,NFO-OPT,NFO
10698242,41790,NIFTY25D0924950PE,NIFTY,0,2025-12-09,24950.0,0.05,75,PE,NFO-OPT,NFO
10694914,41777,NIFTY25D0924900CE,NIFTY,0,2025-12-09,24900.0,0.05,75,CE,NFO-OPT,NFO
10695170,41778,NIFTY25D0924900PE,NIFTY,0,2025-12-09,24900.0,0.05,75,PE,NFO-OPT,NFO
10694402,41775,NIFTY25D0924850CE,NIFTY,0,2025-12-09,24850.0,0.05,75,CE,NFO-OPT,NFO
10694658,41776,NIFTY25D0924850PE,NIFTY,0,2025-12-09,24850.0,0.05,75,PE,NFO-OPT,NFO
10693378,41771,NIFTY25D0924800CE,NIFTY,0,2025-12-09,24800.0,0.05,75,CE,NFO-OPT,NFO
10693634,41772,NIFTY25D0924800PE,NIFTY,0,2025-12-09,24800.0,0.05,75,PE,NFO-OPT,NFO
10692866,41769,NIFTY25D0924750CE,NIFTY,0,2025-12-09,24750.0,0.05,75,CE,NFO-OPT,NFO
10693122,41770,NIFTY25D0924750PE,NIFTY,0,2025-12-09,24750.0,0.05,75,PE,NFO-OPT,NFO
10691842,41765,NIFTY25D0924700CE,NIFTY,0,2025-12-09,24700.0,0.05,75,CE,NFO-OPT,NFO
10692098,41766,NIFTY25D0924700PE,NIFTY,0,2025-12-09,24700.0,0.05,75,PE,NFO-OPT,NFO
10690818,41761,NIFTY25D0924650CE,NIFTY,0,2025-12-09,24650.0,0.05,75,CE,NFO-OPT,NFO
10691074,41762,NIFTY25D0924650PE,NIFTY,0,2025-12-09,24650.0,0.05,75,PE,NFO-OPT,NFO
10690306,41759,NIFTY25D0924600CE,NIFTY,0,2025-12-09,24600.0,0.05,75,CE,NFO-OPT,NFO
10690562,41760,NIFTY25D0924600PE,NIFTY,0,2025-12-09,24600.0,0.05,75,PE,NFO-OPT,NFO
10689794,41757,NIFTY25D0924550CE,NIFTY,0,2025-12-09,24550.0,0.05,75,CE,NFO-OPT,NFO
10690050,41758,NIFTY25D0924550PE,NIFTY,0,2025-12-09,24550.0,0.05,75,PE,NFO-OPT,NFO
10689282,41755,NIFTY25D0924500CE,NIFTY,0,2025-12-09,24500.0,0.05,75,CE,NFO-OPT,NFO
10689538,41756,NIFTY25D0924500PE,NIFTY,0,2025-12-09,24500.0,0.05,75,PE,NFO-OPT,NFO
10688770,41753,NIFTY25D0924450CE,NIFTY,0,2025-12-09,24450.0,0.05,75,CE,NFO-OPT,NFO
10689026,41754,NIFTY25D0924450PE,NIFTY,0,2025-12-09,24450.0,0.05,75,PE,NFO-OPT,NFO
10688002,41750,NIFTY25D0924400CE,NIFTY,0,2025-12-09,24400.0,0.05,75,CE,NFO-OPT,NFO
10688258,41751,NIFTY25D0924400PE,NIFTY,0,2025-12-09,24400.0,0.05,75,PE,NFO-OPT,NFO
10687234,41747,NIFTY25D0924350CE,NIFTY,0,2025-12-09,24350.0,0.05,75,CE,NFO-OPT,NFO
10687490,41748,NIFTY25D0924350PE,NIFTY,0,2025-12-09,24350.0,0.05,75,PE,NFO-OPT,NFO
10686722,41745,NIFTY25D0924300CE,NIFTY,0,2025-12-09,24300.0,0.05,75,CE,NFO-OPT,NFO
10686978,41746,NIFTY25D0924300PE,NIFTY,0,2025-12-09,24300.0,0.05,75,PE,NFO-OPT,NFO
10685698,41741,NIFTY25D0924250CE,NIFTY,0,2025-12-09,24250.0,0.05,75,CE,NFO-OPT,NFO
10685954,41742,NIFTY25D0924250PE,NIFTY,0,2025-12-09,24250.0,0.05,75,PE,NFO-OPT,NFO
10685186,41739,NIFTY25D0924200CE,NIFTY,0,2025-12-09,24200.0,0.05,75,CE,NFO-OPT,NFO
10685442,41740,NIFTY25D0924200PE,NIFTY,0,2025-12-09,24200.0,0.05,75,PE,NFO-OPT,NFO
10684674,41737,NIFTY25D0924150CE,NIFTY,0,2025-12-09,24150.0,0.05,75,CE,NFO-OPT,NFO
10684930,41738,NIFTY25D0924150PE,NIFTY,0,2025-12-09,24150.0,0.05,75,PE,NFO-OPT,NFO
10681602,41725,NIFTY25D0924100CE,NIFTY,0,2025-12-09,24100.0,0.05,75,CE,NFO-OPT,NFO
10682114,41727,NIFTY25D0924100PE,NIFTY,0,2025-12-09,24100.0,0.05,75,PE,NFO-OPT,NFO
10681090,41723,NIFTY25D0924050CE,NIFTY,0,2025-12-09,24050.0,0.05,75,CE,NFO-OPT,NFO
10681346,41724,NIFTY25D0924050PE,NIFTY,0,2025-12-09,24050.0,0.05,75,PE,NFO-OPT,NFO
10680066,41719,NIFTY25D0924000CE,NIFTY,0,2025-12-09,24000.0,0.05,75,CE,NFO-OPT,NFO
10680322,41720,NIFTY25D0924000PE,NIFTY,0,2025-12-09,24000.0,0.05,75,PE,NFO-OPT,NFO
10679298,41716,NIFTY25D0923950CE,NIFTY,0,2025-12-09,23950.0,0.05,75,CE,NFO-OPT,NFO
10679554,41717,NIFTY25D0923950PE,NIFTY,0,2025-12-09,23950.0,0.05,75,PE,NFO-OPT,NFO
10678018,41711,NIFTY25D0923900CE,NIFTY,0,2025-12-09,23900.0,0.05,75,CE,NFO-OPT,NFO
10678274,41712,NIFTY25D0923900PE,NIFTY,0,2025-12-09,23900.0,0.05,75,PE,NFO-OPT,NFO
10677506,41709,NIFTY25D0923850CE,NIFTY,0,2025-12-09,23850.0,0.05,75,CE,NFO-OPT,NFO
10677762,41710,NIFTY25D0923850PE,NIFTY,0,2025-12-09,23850.0,0.05,75,PE,NFO-OPT,NFO
10676482,41705,NIFTY25D0923800CE,NIFTY,0,2025-12-09,23800.0,0.05,75,CE,NFO-OPT,NFO
10676738,41706,NIFTY25D0923800PE,NIFTY,0,2025-12-09,23800.0,0.05,75,PE,NFO-OPT,NFO
10675458,41701,NIFTY25D0923750CE,NIFTY,0,2025-12-09,23750.0,0.05,75,CE,NFO-OPT,NFO
10675714,41702,NIFTY25D0923750PE,NIFTY,0,2025-12-09,23750.0,0.05,75,PE,NFO-OPT,NFO
12344834,48222,NIFTY25D1625950CE,NIFTY,0,2025-12-16,25950.0,0.05,75,CE,NFO-OPT,NFO
12345090,48223,NIFTY25D1625950PE,NIFTY,0,2025-12-16,25950.0,0.05,75,PE,NFO-OPT,NFO
12345346,48224,NIFTY25D1626000CE,NIFTY,0,2025-12-16,26000.0,0.05,75,CE,NFO-OPT,NFO
12345602,48225,NIFTY25D1626000PE,NIFTY,0,2025-12-16,26000.0,0.05,75,PE,NFO-OPT,NFO
12344322,48220,NIFTY25D1625900CE,NIFTY,0,2025-12-16,25900.0,0.05,75,CE,NFO-OPT,NFO
12344578,48221,NIFTY25D1625900PE,NIFTY,0,2025-12-16,25900.0,0.05,75,PE,NFO-OPT,NFO
12345858,48226,NIFTY25D1626050CE,NIFTY,0,2025-12-16,26050.0,0.05,75,CE,NFO-OPT,NFO
12346114,48227,NIFTY25D1626050PE,NIFTY,0,2025-12-16,26050.0,0.05,75,PE,NFO-OPT,NFO
12343810,48218,NIFTY25D1625850CE,NIFTY,0,2025-12-16,25850.0,0.05,75,CE,NFO-OPT,NFO
12344066,48219,NIFTY25D1625850PE,NIFTY,0,2025-12-16,25850.0,0.05,75,PE,NFO-OPT,NFO
12346370,48228,NIFTY25D1626100CE,NIFTY,0,2025-12-16,26100.0,0.05,75,CE,NFO-OPT,NFO
12346626,48229,NIFTY25D1626100PE,NIFTY,0,2025-12-16,26100.0,0.05,75,PE,NFO-OPT,NFO
12342274,48212,NIFTY25D1625800CE,NIFTY,0,2025-12-16,25800.0,0.05,75,CE,NFO-OPT,NFO
12343554,48217,NIFTY25D1625800PE,NIFTY,0,2025-12-16,25800.0,0.05,75,PE,NFO-OPT,NFO
12346882,48230,NIFTY25D1626150CE,NIFTY,0,2025-12-16,26150.0,0.05,75,CE,NFO-OPT,NFO
12349698,48241,NIFTY25D1626150PE,NIFTY,0,2025-12-16,26150.0,0.05,75,PE,NFO-OPT,NFO
12341762,48210,NIFTY25D1625750CE,NIFTY,0,2025-12-16,25750.0,0.05,75,CE,NFO-OPT,NFO
12342018,48211,NIFTY25D1625750PE,NIFTY,0,2025-12-16,25750.0,0.05,75,PE,NFO-OPT,NFO
12349954,48242,NIFTY25D1626200CE,NIFTY,0,2025-12-16,26200.0,0.05,75,CE,NFO-OPT,NFO
12350466,48244,NIFTY25D1626200PE,NIFTY,0,2025-12-16,26200.0,0.05,75,PE,NFO-OPT,NFO
12340738,48206,NIFTY25D1625700CE,NIFTY,0,2025-12-16,25700.0,0.05,75,CE,NFO-OPT,NFO
12341506,48209,NIFTY25D1625700PE,NIFTY,0,2025-12-16,25700.0,0.05,75,PE,NFO-OPT,NFO
12350722,48245,NIFTY25D1626250CE,NIFTY,0,2025-12-16,26250.0,0.05,75,CE,NFO-OPT,NFO
12350978,48246,NIFTY25D1626250PE,NIFTY,0,2025-12-16,26250.0,0.05,75,PE,NFO-OPT,NFO
12339714,48202,NIFTY25D1625650CE,NIFTY,0,2025-12-16,25650.0,0.05,75,CE,NFO-OPT,NFO
12339970,48203,NIFTY25D1625650PE,NIFTY,0,2025-12-16,25650.0,0.05,75,PE,NFO-OPT,NFO
12351234,48247,NIFTY25D1626300CE,NIFTY,0,2025-12-16,26300.0,0.05,75,CE,NFO-OPT,NFO
12352514,48252,NIFTY25D1626300PE,NIFTY,0,2025-12-16,26300.0,0.05,75,PE,NFO-OPT,NFO
12339202,48200,NIFTY25D1625600CE,NIFTY,0,2025-12-16,25600.0,0.05,75,CE,NFO-OPT,NFO
12339458,48201,NIFTY25D1625600PE,NIFTY,0,2025-12-16,25600.0,0.05,75,PE,NFO-OPT,NFO
12353026,48254,NIFTY25D1626350PE,NIFTY,0,2025-12-16,26350.0,0.05,75,PE,NFO-OPT,NFO
12378626,48354,NIFTY25D1627950CE,NIFTY,0,2025-12-16,27950.0,0.05,75,CE,NFO-OPT,NFO
12378882,48355,NIFTY25D1627950PE,NIFTY,0,2025-12-16,27950.0,0.05,75,PE,NFO-OPT,NFO
12377090,48348,NIFTY25D1627900CE,NIFTY,0,2025-12-16,27900.0,0.05,75,CE,NFO-OPT,NFO
12378370,48353,NIFTY25D1627900PE,NIFTY,0,2025-12-16,27900.0,0.05,75,PE,NFO-OPT,NFO
12376322,48345,NIFTY25D1627850CE,NIFTY,0,2025-12-16,27850.0,0.05,75,CE,NFO-OPT,NFO
12376834,48347,NIFTY25D1627850PE,NIFTY,0,2025-12-16,27850.0,0.05,75,PE,NFO-OPT,NFO
12375554,48342,NIFTY25D1627800CE,NIFTY,0,2025-12-16,27800.0,0.05,75,CE,NFO-OPT,NFO
12376066,48344,NIFTY25D1627800PE,NIFTY,0,2025-12-16,27800.0,0.05,75,PE,NFO-OPT,NFO
12374530,48338,NIFTY25D1627750CE,NIFTY,0,2025-12-16,27750.0,0.05,75,CE,NFO-OPT,NFO
12374786,48339,NIFTY25D1627750PE,NIFTY,0,2025-12-16,27750.0,0.05,75,PE,NFO-OPT,NFO
12374018,48336,NIFTY25D1627700CE,NIFTY,0,2025-12-16,27700.0,0.05,75,CE,NFO-OPT,NFO
12374274,48337,NIFTY25D1627700PE,NIFTY,0,2025-12-16,27700.0,0.05,75,PE,NFO-OPT,NFO
12373506,48334,NIFTY25D1627650CE,NIFTY,0,2025-12-16,27650.0,0.05,75,CE,NFO-OPT,NFO
12373762,48335,NIFTY25D1627650PE,NIFTY,0,2025-12-16,27650.0,0.05,75,PE,NFO-OPT,NFO
12372226,48329,NIFTY25D1627600CE,NIFTY,0,2025-12-16,27600.0,0.05,75,CE,NFO-OPT,NFO
12373250,48333,NIFTY25D1627600PE,NIFTY,0,2025-12-16,27600.0,0.05,75,PE,NFO-OPT,NFO
12371714,48327,NIFTY25D1627550CE,NIFTY,0,2025-12-16,27550.0,0.05,75,CE,NFO-OPT,NFO
12371970,48328,NIFTY25D1627550PE,NIFTY,0,2025-12-16,27550.0,0.05,75,PE,NFO-OPT,NFO
12370946,48324,NIFTY25D1627500CE,NIFTY,0,2025-12-16,27500.0,0.05,75,CE,NFO-OPT,NFO
12371458,48326,NIFTY25D1627500PE,NIFTY,0,2025-12-16,27500.0,0.05,75,PE,NFO-OPT,NFO
12370434,48322,NIFTY25D1627450CE,NIFTY,0,2025-12-16,27450.0,0.05,75,CE,NFO-OPT,NFO
12370690,48323,NIFTY25D1627450PE,NIFTY,0,2025-12-16,27450.0,0.05,75,PE,NFO-OPT,NFO
